ID	REG	FOCUS	DSID	HAB_CO	HAB_CH	HAB_FI	PRE_CO	PRE_CH	PRE_FI	NPROJ	ACTION	COST	POST_CO	POST_CH	POST_FI
9ts2	Coos	1.0	NA	0.0	0.0	0.0244469706327971	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
10ts2	Coos	1.0	NA	0.0	0.0	0.0031007264747846	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
11ts2	Coos	1.0	NA	0.0	0.0	0.0014517706206989	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
12ts2	Coos	1.0	NA	0.0	0.0	0.0044493734710031	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
13ts2	Coos	1.0	NA	0.0	0.0	0.0250467867760682	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
14ts2	Coos	1.0	NA	0.0492413638293073	0.0	0.0049230866059742	0.0	0.0	0.0	1.0	0.0	260000.0	1.0	1.0	1.0
15ts2	Coos	1.0	NA	0.190085183737926	0.0	0.0437902625070615	0.0	0.0	0.0	1.0	0.0	810000.0	1.0	1.0	1.0
16ts2	Coos	1.0	NA	0.0	0.0	5.61089837725201e-06	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
17ts2	Coos	1.0	NA	0.0	0.0	0.009913426734128	0.0	0.0	0.0	1.0	0.0	260000.0	1.0	1.0	1.0
18ts2	Coos	1.0	NA	0.0	0.0	0.0053968339802989	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
19ts2	Coos	1.0	NA	0.0	0.0	0.0033151874526997	0.0	0.0	0.0	1.0	0.0	260000.0	1.0	1.0	1.0
20ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
21ts2	Coos	1.0	NA	0.0	0.0	0.0181530767370566	0.0	0.0	0.0	1.0	0.0	540000.0	1.0	1.0	1.0
22ts2	Coos	1.0	NA	0.352072093945675	0.148364469624409	0.0640497124242534	0.400000005960465	0.400000005960465	0.0	1.0	0.0	1080000.0	1.0	1.0	1.0
23ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
24ts2	Coos	1.0	22ts2	0.0547634649168201	0.0	0.0181237381232229	0.0	0.0	0.0	1.0	0.0	360000.0	1.0	1.0	1.0
25ts2	Coos	1.0	22ts2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
26ts2	Coos	1.0	NA	0.100071486201701	0.0	0.0474145039201161	0.0	0.0	0.0	1.0	0.0	540000.0	1.0	1.0	1.0
27ts2	Coos	1.0	NA	0.0207814504247961	0.0432360430922381	0.131435894315522	0.0	0.0	0.0	1.0	0.0	1080000.0	1.0	1.0	1.0
28ts2	Coos	1.0	NA	0.0	0.0	0.0141479004857321	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
29ts2	Coos	1.0	NA	0.0	0.0	0.0232134833228082	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
30ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
31ts2	Coos	1.0	6ts2	0.030752078566049	0.0	0.0120470735500299	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
32ts2	Coos	1.0	NA	0.0	0.0	0.0026081567457518	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
33ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
34ts2	Coos	1.0	NA	0.0	0.0	0.0025810548375957	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
35ts2	Coos	1.0	159ts2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
36ts2	Coos	1.0	NA	0.0	0.0	0.0012236567669091	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
45ts2	Coos	1.0	NA	0.166548053770442	0.326998907369421	0.0653892111429605	0.800000011920929	0.800000011920929	0.0	1.0	0.0	1260000.0	1.0	1.0	1.0
37ts2	Coos	1.0	45ts2	0.0	0.0	0.0164277212066508	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
38ts2	Coos	1.0	45ts2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
39ts2	Coos	1.0	45ts2	0.0	0.0	0.0055384543167142	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
40ts2	Coos	1.0	NA	0.0	0.0	0.0018672833574497	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
41ts2	Coos	1.0	NA	0.0	0.0	0.0022249073006396	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
42ts2	Coos	1.0	NA	0.0021363792608432	0.0144601247251406	0.0598539402898629	0.0	0.0	0.0	1.0	0.0	360000.0	1.0	1.0	1.0
43ts2	Coos	1.0	46ts2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
